时间,商品名称,库存变化,单笔销量
2026-08-20 17:34:00,kkt,初始销量：2490,10
2026-08-20 17:34:00,line,初始销量：2499,1
2026-08-20 17:55:19,kkt,2490->2440,50
2026-08-21 02:14:43,line,2499->2498,1
2026-08-21 02:48:55,kkt,2440->2439,1
2026-08-21 13:02:06,kkt,2439->2489,-50
2026-08-21 13:06:35,kkt,2489->2437,52
2026-08-21 21:52:29,kkt,2437->2436,1
2026-08-22 00:54:33,kkt,2436->2435,1
2026-08-22 06:31:05,kkt,2435->2437,-2
2026-08-22 08:07:07,kkt,2437->2401,36
2026-08-22 11:16:29,kkt,2401->2386,15
2026-08-22 17:09:35,line,2498->2482,16
2026-08-22 18:39:45,line,2482->2460,22
2026-08-22 19:05:27,kkt,2386->2385,1
2026-08-22 22:13:21,line,2460->2454,6
2026-08-22 22:16:56,kkt,2385->2367,18
2026-08-22 22:52:42,kkt,2367->2335,32
2026-08-22 22:53:26,line,2454->2433,21
2026-08-22 22:53:37,kkt,2335->2283,52
2026-08-22 22:53:51,kkt,2283->2251,32
2026-08-22 22:54:13,kkt,2251->2209,42
2026-08-22 22:56:10,line,2433->2397,36
2026-08-22 22:56:21,line,2397->2351,46
2026-08-22 22:56:38,kkt,2209->2188,21
2026-08-22 22:57:56,kkt,2188->2164,24
2026-08-22 22:59:33,kkt,2164->2146,18
2026-08-22 22:59:48,line,2351->2303,48
2026-08-22 23:00:04,kkt,2146->2117,29
2026-08-22 23:00:04,line,2303->2249,54
2026-08-22 23:00:15,line,2249->2242,7
2026-08-22 23:03:13,kkt,2117->2092,25
