时间,商品名称,库存变化,单笔销量
2026-08-20 18:01:42,82MAJOR线下团签,初始库存: 4994,6
2026-08-20 18:07:32,82MAJOR线下团签,4994 -> 4993,1
2026-08-20 20:05:12,82MAJOR线下团签,4993 -> 4893,100
2026-08-21 16:33:09,82MAJOR线下团签,4893 -> 4859,34
2026-08-21 16:35:45,82MAJOR线下团签,4859 -> 4837,22
2026-08-21 19:25:46,82MAJOR线下团签,4837 -> 4791,46
2026-08-21 21:53:28,82MAJOR线下团签,4791 -> 4783,8
2026-08-21 22:40:22,82MAJOR线下团签,4783 -> 4735,48
2026-08-22 03:26:00,82MAJOR线下团签,4735 -> 4723,12
2026-08-22 13:02:48,82MAJOR线下团签,4723 -> 4713,10
2026-08-22 13:03:28,82MAJOR线下团签,4713 -> 4703,10
2026-08-22 15:58:19,82MAJOR线下团签,4703 -> 4685,18
2026-08-22 16:06:03,82MAJOR线下团签,4685 -> 4653,32
2026-08-22 16:23:53,82MAJOR线下团签,4653 -> 4628,25
2026-08-22 19:56:15,82MAJOR线下团签,4628 -> 4598,30
2026-08-22 20:28:20,82MAJOR线下团签,4598 -> 4593,5
2026-08-22 20:36:36,82MAJOR线下团签,4593 -> 4581,12
2026-08-22 20:58:00,82MAJOR线下团签,4581 -> 4517,64
2026-08-22 20:59:17,82MAJOR线下团签,4517 -> 4510,7
2026-08-22 21:10:44,82MAJOR线下团签,4510 -> 4485,25
2026-08-22 21:31:16,82MAJOR线下团签,4485 -> 4430,55
2026-08-22 21:35:21,82MAJOR线下团签,4430 -> 4375,55
2026-08-22 21:41:30,82MAJOR线下团签,4375 -> 4323,52
2026-08-22 21:42:43,82MAJOR线下团签,4323 -> 4263,60
2026-08-22 21:43:26,82MAJOR线下团签,4263 -> 4196,67
2026-08-22 21:45:33,82MAJOR线下团签,4196 -> 4082,114
2026-08-22 21:50:16,82MAJOR线下团签,4082 -> 4061,21
2026-08-22 21:51:57,82MAJOR线下团签,4061 -> 4036,25
