时间,商品名称,库存变化,单笔销量
2026-08-20 18:02:13,SEOKJOON_DIY,初始库存: 4999,1
2026-08-20 20:04:58,SEOKJOON_DIY,4999 -> 4899,100
2026-08-21 21:05:38,SEOKJOON_DIY,4899 -> 4804,95
2026-08-21 21:53:33,SEOKJOON_DIY,4804 -> 4790,14
2026-08-22 16:19:22,SEOKJOON_DIY,4790 -> 4773,17
2026-08-22 19:02:51,SEOKJOON_DIY,4773 -> 4759,14
2026-08-22 20:59:19,SEOKJOON_DIY,4759 -> 4745,14
2026-08-22 22:42:39,SEOKJOON_DIY,4745 -> 4762,-17
2026-08-22 22:45:42,SEOKJOON_DIY,4762 -> 4732,30
2026-08-22 22:51:21,SEOKJOON_DIY,4732 -> 4590,142
2026-08-22 22:53:52,SEOKJOON_DIY,4590 -> 4485,105
2026-08-22 22:58:40,SEOKJOON_DIY,4485 -> 4407,78
2026-08-22 22:59:04,SEOKJOON_DIY,4407 -> 4299,108
2026-08-22 22:59:50,SEOKJOON_DIY,4299 -> 4285,14
