时间,商品名称,库存变化,单笔销量
2026-08-20 18:01:53,SEONGBIN_DIY,初始库存: 4999,1
2026-08-21 12:37:38,SEONGBIN_DIY,4999 -> 4978,21
2026-08-22 19:56:18,SEONGBIN_DIY,4978 -> 4942,36
2026-08-22 20:42:36,SEONGBIN_DIY,4942 -> 4932,10
2026-08-22 20:48:06,SEONGBIN_DIY,4932 -> 4892,40
2026-08-22 21:56:08,SEONGBIN_DIY,4892 -> 4913,-21
2026-08-22 22:05:22,SEONGBIN_DIY,4913 -> 4804,109
2026-08-22 22:51:24,SEONGBIN_DIY,4804 -> 4755,49
2026-08-22 22:54:39,SEONGBIN_DIY,4755 -> 4652,103
2026-08-22 22:57:55,SEONGBIN_DIY,4652 -> 4631,21
2026-08-22 22:59:08,SEONGBIN_DIY,4631 -> 4513,118
