时间,商品名称,库存变化,单笔销量
2026-08-20 18:01:44,SEONGMO_DIY,初始库存: 5000,0
2026-08-21 20:25:20,SEONGMO_DIY,5000 -> 4999,1
2026-08-21 22:38:53,SEONGMO_DIY,4999 -> 4998,1
2026-08-22 06:31:02,SEONGMO_DIY,4998 -> 5000,-2
2026-08-22 13:33:11,SEONGMO_DIY,5000 -> 4992,8
2026-08-22 16:49:40,SEONGMO_DIY,4992 -> 4922,70
2026-08-22 19:10:03,SEONGMO_DIY,4922 -> 4907,15
2026-08-22 22:00:55,SEONGMO_DIY,4907 -> 4827,80
2026-08-22 22:23:04,SEONGMO_DIY,4827 -> 4820,7
2026-08-22 22:40:33,SEONGMO_DIY,4820 -> 4799,21
2026-08-22 22:59:48,SEONGMO_DIY,4799 -> 4388,411
2026-08-22 23:00:09,SEONGMO_DIY,4388 -> 4268,120
2026-08-22 23:01:02,SEONGMO_DIY,4268 -> 4261,7
2026-08-22 23:02:26,SEONGMO_DIY,4261 -> 4403,-142
